年齢,職種,結婚,学歴,債務不履行,預金残高,住宅ローン,個人ローン,連絡手段,日,月,秒数,連絡回数,経過日数,事前連絡回数,前回の結果,結果
49,9,1,2,0,3726,0,0,0,5,8,875,2,-1,0,3,1
49,9,1,2,0,523,1,0,0,3,3,152,2,-1,0,3,1
38,2,1,1,0,593,1,1,0,24,7,1484,24,-1,0,3,1
45,0,1,1,0,204,1,0,0,3,6,224,2,-1,0,3,1
28,4,2,1,0,171,0,0,0,10,3,93,1,-1,0,3,1
30,9,1,1,0,-393,1,1,0,16,7,435,1,-1,0,3,1
35,4,1,2,0,8,0,0,0,23,4,93,3,-1,0,3,1
48,4,1,1,0,4415,1,0,0,8,4,1032,3,141,7,0,1
43,4,2,2,0,1304,0,0,0,6,8,501,2,-1,0,3,1
50,9,0,1,0,-54,1,1,0,13,5,698,2,292,1,0,1
57,5,1,2,0,0,1,1,2,28,5,648,1,-1,0,3,1
28,6,2,2,0,4579,0,0,0,12,1,409,2,-1,0,3,1
49,2,0,3,1,-701,1,0,0,30,7,988,2,-1,0,3,1
43,4,0,2,0,388,1,0,2,8,5,2087,2,-1,0,3,1
49,1,1,1,0,-454,1,0,0,14,5,558,1,-1,0,3,1
50,1,1,0,0,4108,1,0,0,7,8,526,2,-1,0,3,1
43,1,1,1,0,699,1,1,0,20,11,1258,2,122,2,1,1
54,9,1,2,0,876,0,0,0,27,10,269,3,541,3,2,1
38,9,2,2,0,25,1,0,0,1,6,232,2,-1,0,3,1
55,4,1,0,0,2587,0,0,0,4,9,328,2,94,2,2,1
29,1,2,1,0,482,0,1,0,10,7,1097,3,-1,0,3,1
46,9,0,1,0,-90,0,1,1,17,10,270,1,-1,0,3,1
32,1,1,1,0,2089,1,0,0,14,11,132,1,-1,0,3,1
32,1,2,1,0,811,1,0,0,14,5,563,1,-1,0,3,1
59,9,1,1,0,2308,0,0,0,30,4,815,1,87,1,1,1
27,7,1,1,0,0,1,0,0,22,7,1608,13,-1,0,3,1
29,1,2,1,0,-20,0,1,0,21,7,574,1,-1,0,3,1
37,4,1,2,0,5355,0,0,1,17,2,466,4,-1,0,3,1
31,7,0,0,0,459,1,0,0,7,5,623,1,293,1,2,1
28,8,2,2,0,0,0,0,0,28,9,294,2,105,7,1,1
47,4,1,2,0,2306,0,0,1,6,8,239,4,-1,0,3,1
31,9,1,2,0,636,1,0,0,4,5,352,4,-1,0,3,1
61,4,1,2,0,6016,0,0,0,2,2,670,3,-1,0,3,1
56,5,1,1,0,-1206,1,0,0,15,6,382,2,-1,0,3,1
32,7,1,0,0,228,1,0,0,21,7,1017,6,-1,0,3,1
39,1,1,0,0,2303,1,0,2,17,6,775,3,-1,0,3,1
38,7,2,1,0,2253,1,0,0,13,5,937,3,-1,0,3,1
43,4,2,2,0,1696,1,0,0,26,8,257,1,474,3,0,1
69,5,2,2,0,2144,0,0,0,29,7,417,1,184,4,2,1
47,9,1,1,0,1219,0,0,0,18,8,697,4,-1,0,3,1
39,6,1,2,0,1047,0,0,2,6,6,554,1,-1,0,3,1
46,4,1,2,0,273,1,0,0,18,3,910,2,184,4,2,1
37,4,1,2,0,238,0,0,0,3,2,185,1,92,1,2,1
44,9,2,1,0,244,1,0,0,12,8,1735,4,-1,0,3,1
60,1,1,0,0,493,0,0,0,18,8,671,4,-1,0,3,1
30,1,2,1,0,315,0,0,0,23,6,1407,1,-1,0,3,1
50,10,1,1,0,3357,0,0,0,9,6,239,4,-1,0,3,1
32,0,2,1,0,620,1,0,2,26,5,1234,3,-1,0,3,1
41,1,0,0,0,664,0,1,0,15,7,955,5,-1,0,3,1
32,4,2,2,0,311,0,0,2,12,5,757,2,-1,0,3,1
34,3,1,1,0,0,1,0,2,30,10,154,1,-1,0,3,1
53,1,1,1,0,25,0,0,0,22,8,528,2,-1,0,3,1
37,2,0,2,0,66,0,0,0,18,11,1164,2,-1,0,3,1
73,5,1,0,0,279,0,0,0,28,1,399,3,-1,0,3,1
54,5,0,2,0,0,0,0,2,13,5,618,1,-1,0,3,1
36,4,2,1,0,1511,1,0,0,16,11,270,1,-1,0,3,1
31,4,2,2,0,1130,1,0,0,17,4,224,3,74,4,0,0
53,6,1,2,0,451,1,0,0,2,2,125,1,249,2,0,0
33,0,1,1,0,220,1,0,2,27,5,345,1,-1,0,3,0
53,2,1,1,0,-118,1,0,2,9,5,101,3,-1,0,3,0
42,4,1,2,0,520,0,0,0,4,11,158,1,-1,0,3,0
27,3,1,1,0,4848,1,1,1,23,7,82,3,-1,0,3,0
51,1,1,0,0,40,1,0,0,13,5,79,1,370,1,0,0
26,1,1,1,0,484,1,0,2,19,5,48,2,-1,0,3,0
42,7,1,1,0,292,1,0,0,11,5,222,3,-1,0,3,0
27,7,1,1,0,-1202,1,0,2,4,6,749,2,-1,0,3,0
30,4,2,2,0,162,1,0,2,20,5,186,4,-1,0,3,0
49,4,0,2,0,1904,0,1,0,17,11,131,2,-1,0,3,0
53,4,1,2,0,12,0,0,0,27,8,345,10,-1,0,3,0
56,5,1,1,0,344,1,0,2,15,5,221,1,-1,0,3,0
31,9,1,1,0,171,0,0,0,27,8,81,3,-1,0,3,0
31,4,2,1,0,36,0,0,0,27,8,105,2,-1,0,3,0
27,7,2,1,0,259,1,0,2,23,5,78,10,-1,0,3,0
36,9,1,2,0,0,0,0,0,22,8,147,2,-1,0,3,0
48,4,1,2,1,-13,1,0,0,15,5,20,6,291,2,1,0
48,0,1,1,0,292,1,1,0,29,7,164,6,-1,0,3,0
28,1,2,1,0,6307,1,0,2,28,5,615,1,-1,0,3,0
32,4,2,2,0,11797,1,0,0,11,8,95,2,-1,0,3,0
41,4,0,2,0,4567,1,1,0,16,7,106,1,-1,0,3,0
56,4,1,1,0,238,1,0,0,19,11,808,1,-1,0,3,0
55,5,1,1,0,159,0,0,0,28,8,159,1,-1,0,3,0
30,9,2,2,0,236,1,0,2,16,5,197,1,-1,0,3,0
33,4,1,2,0,2098,0,0,0,20,11,67,1,-1,0,3,0
46,9,1,1,0,-337,1,0,2,27,5,112,1,-1,0,3,0
39,0,2,1,0,1242,1,0,2,12,5,303,3,-1,0,3,0
33,4,2,2,0,1909,0,0,0,8,8,191,2,-1,0,3,0
35,4,2,2,0,2486,1,0,0,25,5,265,1,-1,0,3,0
35,7,1,1,0,128,1,0,0,12,5,136,1,-1,0,3,0
23,1,1,0,0,1158,1,0,0,16,4,743,1,-1,0,3,0
51,1,1,0,0,0,1,0,0,10,7,324,1,-1,0,3,0
34,4,0,1,0,291,0,0,0,7,8,91,2,-1,0,3,0
65,5,0,3,0,300,0,0,0,2,8,245,2,-1,0,3,0
56,1,1,0,0,551,0,0,2,29,5,27,1,-1,0,3,0
35,9,2,2,0,2288,0,0,1,28,5,32,2,-1,0,3,0
23,9,2,1,0,-306,1,0,2,4,6,217,2,-1,0,3,0
26,1,1,1,0,245,1,0,2,26,5,16,11,-1,0,3,0
25,1,2,0,0,-221,1,0,2,23,5,250,1,-1,0,3,0
45,0,1,1,0,248,0,0,0,16,7,212,2,-1,0,3,0
31,9,2,1,0,1014,1,0,0,23,7,158,4,-1,0,3,0
42,1,1,1,0,0,1,0,0,21,11,328,6,-1,0,3,0
57,4,1,2,0,1602,0,0,0,29,7,339,3,-1,0,3,0
43,0,0,1,0,738,1,0,0,21,11,585,4,191,4,0,0
41,4,1,2,0,832,1,1,0,21,11,164,1,176,1,0,0
34,1,1,1,0,3990,1,0,0,24,7,633,7,-1,0,3,0
52,1,1,1,0,1117,1,0,0,13,5,365,1,-1,0,3,0
33,4,1,1,0,3132,1,0,2,23,5,350,5,-1,0,3,0
29,1,1,1,0,424,1,1,2,14,5,241,2,-1,0,3,0
31,7,2,1,0,864,1,0,0,6,5,100,1,-1,0,3,0
40,9,1,1,0,257,1,0,2,16,5,731,4,-1,0,3,0
36,4,1,2,0,0,1,0,2,27,5,145,2,-1,0,3,0
38,6,2,1,0,1146,1,0,2,21,5,91,2,-1,0,3,0
26,4,1,2,0,265,0,0,0,30,1,650,2,-1,0,3,0
44,1,1,1,0,508,1,0,0,20,4,222,1,154,1,0,0
49,9,1,1,1,-74,1,0,0,19,11,114,1,-1,0,3,0
52,9,1,1,0,196,1,1,0,24,2,116,1,273,3,0,0
33,9,1,1,0,58,1,0,1,29,8,57,2,-1,0,3,0
37,4,0,2,0,168,1,0,2,5,6,227,1,-1,0,3,0
43,11,1,2,0,1937,0,0,2,19,6,385,1,-1,0,3,0
44,6,1,2,0,134,0,0,0,28,8,86,4,-1,0,3,0
28,1,2,1,0,1065,1,1,0,17,4,406,1,317,1,0,0
55,0,1,0,0,343,1,0,0,14,7,276,3,-1,0,3,0
30,0,2,1,0,239,1,0,0,7,5,115,3,-1,0,3,0
53,1,1,0,0,25,1,0,2,6,5,266,3,-1,0,3,0
38,4,1,2,0,-558,1,0,0,21,7,533,1,-1,0,3,0
57,5,1,2,0,31,0,0,0,19,8,260,2,-1,0,3,0
38,6,1,2,0,846,0,0,0,2,6,253,1,-1,0,3,0
57,9,1,3,0,206,1,0,2,5,5,216,3,-1,0,3,0
38,0,1,0,0,0,1,0,2,2,6,29,32,-1,0,3,0
59,5,1,0,0,1427,0,0,2,18,6,140,2,-1,0,3,0
36,9,0,2,0,1174,1,0,0,18,11,192,2,-1,0,3,0
34,0,1,1,0,5320,0,0,0,3,3,114,6,467,5,1,0
51,3,1,1,0,260,0,0,0,27,8,316,5,-1,0,3,0
36,0,2,2,0,980,0,0,0,11,11,118,4,104,7,0,0
38,2,1,2,0,228,1,0,0,5,2,105,1,-1,0,3,0
66,4,1,2,0,1048,1,0,0,23,6,971,2,-1,0,3,0
27,7,1,1,0,100,0,0,0,16,7,57,2,-1,0,3,0
42,4,0,2,0,0,0,0,2,19,5,131,2,-1,0,3,0
35,0,2,1,0,1810,1,0,0,25,5,65,2,-1,0,3,0
33,1,2,0,0,92,1,0,2,9,5,127,1,-1,0,3,0
37,2,1,2,0,7944,0,0,0,21,11,102,1,-1,0,3,0
41,6,2,2,0,3950,1,0,2,30,5,96,2,-1,0,3,0
31,4,1,2,0,430,1,0,0,25,7,137,16,-1,0,3,0
34,9,2,2,0,586,1,0,2,16,5,489,2,-1,0,3,0
70,5,1,1,0,616,0,0,0,27,4,149,2,182,1,0,0
38,9,2,2,0,221,0,0,0,20,8,79,3,-1,0,3,0
38,7,1,1,0,-762,1,1,2,30,5,408,2,-1,0,3,0
55,1,1,0,0,2275,0,0,0,25,8,139,9,-1,0,3,0
35,7,1,1,0,0,0,1,1,9,7,42,1,-1,0,3,0
34,1,1,1,0,322,1,0,0,20,4,10,3,-1,0,3,0
45,1,0,0,0,0,1,0,0,21,7,211,2,-1,0,3,0
32,9,2,2,0,1059,1,0,0,17,4,115,1,-1,0,3,0
54,0,1,1,0,865,1,0,0,17,11,71,1,-1,0,3,0
26,1,2,1,0,179,0,0,0,30,7,103,3,-1,0,3,0
57,0,0,0,0,179,1,0,0,15,5,67,1,368,2,0,0
34,9,2,1,0,440,1,0,0,6,5,445,2,345,2,0,0
31,4,1,2,0,8312,0,0,0,29,8,43,13,-1,0,3,0
